id,line_id,geometry,buildstart,opening,closure,length
11,8,"LINESTRING(-58.373889012778 -34.60789548645,-58.3793481403862 -34.6049021494756,-58.3805743413541 -34.6042452061536,-58.3827009561205 -34.6031404945374,-58.3838445954311 -34.6025721390758,-58.3842441591132 -34.6023159943908,-58.3847863558394 -34.6018157063995)",1936,1937,,1209
25,9,"LINESTRING(-58.4580570765604 -34.6399421030128,-58.4607759171864 -34.6419304375447,-58.4619087674472 -34.6430133480565)",1977,1986,,492
29,10,"LINESTRING(-58.4057158714216 -34.6384181274254,-58.4068393598161 -34.638626137644,-58.4071936057117 -34.6386926154852,-58.4073615018281 -34.6387266974861,-58.4074499615989 -34.6387347792123,-58.4075359931312 -34.6387358085077,-58.4077959045336 -34.6387174135889,-58.4081323673802 -34.6386762165182,-58.4085864181047 -34.6385978881193,-58.4088474708952 -34.6385293450642,-58.4091713138654 -34.6384290101409,-58.4093681558946 -34.6383909230383,-58.4095697972007 -34.6383635956112,-58.4098130051818 -34.6383559391917,-58.4100349604298 -34.6383723561447,-58.4102518166364 -34.638403201905,-58.4104649109873 -34.6384658859837,-58.4107498593383 -34.6385705971914,-58.4108677684903 -34.6386298515667,-58.4109952090383 -34.6387098780799,-58.4111699763055 -34.638845126833,-58.4113333804774 -34.6389896154623,-58.4114507802906 -34.6391389762947,-58.4117055461405 -34.6395917389953,-58.4122188531875 -34.6408647480847,-58.4125578810989 -34.6416655069585)",2005,2013,,864
15,8,"LINESTRING(-58.452182438765 -34.5662070691223,-58.4533260780757 -34.5656384610109,-58.454232358284 -34.5649276954043,-58.4563901683037 -34.5623866586835)",1994,1999,,582
16,8,"LINESTRING(-58.4563901683037 -34.5623866586835,-58.4593247899306 -34.559028106423,-58.462216255357 -34.5557938168177)",1994,2000,,906
17,9,"LINESTRING(-58.38118053003 -34.627803990637,-58.3811819562797 -34.6271841470466,-58.3809488635931 -34.62660873231,-58.3805385844428 -34.6256605460815,-58.3807157709063 -34.6250014654978,-58.3808883957078 -34.6245575550438,-58.3815357387137 -34.623651970354,-58.3819457226175 -34.6231902959245,-58.3826793780242 -34.6227286189264,-58.3836935487337 -34.6224622656439,-58.3843840479402 -34.6222846963139,-58.3852255938481 -34.6222669393602)",1938,1944,1966,881
18,9,"LINESTRING(-58.3852255938481 -34.6222669393602,-58.3910516809029 -34.6226931052064,-58.3972230175609 -34.6231547824034,-58.3979566729678 -34.6232258094364,-58.4022938711086 -34.623811780139,-58.408724485398 -34.624625891856,-58.4146615753957 -34.6253152667391)",1938,1944,,2722
19,9,"LINESTRING(-58.4146615753957 -34.6253152667391,-58.4158855905226 -34.6254453735449)",,1960,,113
20,9,"LINESTRING(-58.4158855905226 -34.6254453735449,-58.4208510372833 -34.6261733776935,-58.4266339681377 -34.6270079111322)",1960,1966,,1001
21,9,"LINESTRING(-58.3852255938481 -34.6222669393602,-58.3845135165414 -34.6222136684756,-58.3832835648298 -34.6219650705622,-58.3822370269699 -34.6216543221232,-58.3819457226171 -34.6215477795334,-58.3817623087654 -34.6214146011038,-58.381622051114 -34.621263665292,-58.3815788949136 -34.6210505789727,-58.3815788949135 -34.6207398271096,-58.3816004730132 -34.618262649223,-58.381589683963 -34.6179341290401,-58.3815757867881 -34.6178518884476,-58.3815387167313 -34.6177702271774,-58.3814819205791 -34.617703848347,-58.3813523248607 -34.617561212662,-58.3783098127314 -34.6136277307333,-58.3778163242792 -34.612979463331,-58.3776668009481 -34.6128181408185,-58.3760441122096 -34.6113812116069,-58.3741634084429 -34.6096924137172,-58.3736762081834 -34.6092787035911)",1957,1966,,1937
22,9,"LINESTRING(-58.3736762081834 -34.6092787035911,-58.3735114946929 -34.609182268429,-58.3733792168342 -34.6091213118627,-58.3719334841204 -34.6083753982483,-58.3713454808899 -34.6080601589325,-58.3706927433586 -34.6076383579758,-58.3701371072783 -34.6071721544256,-58.3699914551019 -34.6068258300938,-58.370023822252 -34.6062441795685,-58.3700777675025 -34.605884531022,-58.3701371072779 -34.6051741095625,-58.3702180251535 -34.6043482369762,-58.3703582828045 -34.6026121016937,-58.3704230171049 -34.6019904587526,-58.3705039349805 -34.6011823159727,-58.370563274756 -34.6007649204683,-58.3708491845835 -34.5996326135892,-58.3708491845835 -34.5996326135892,-58.3709732586594 -34.5988155668605,-58.3711296998858 -34.5983581948801,-58.3717662538415 -34.5971858899271,-58.3724189913725 -34.5958981116888,-58.3728991041017 -34.5949300445301,-58.3730231781778 -34.5944815325639,-58.3731040960535 -34.5943616329075,-58.373265931805 -34.5941395960514,-58.3736327595084 -34.5938198619361,-58.3741506339132 -34.5934779227011,-58.3744850944663 -34.5932736466423,-58.3762652877328 -34.5922122912092)",2008,,,2248
23,9,"LINESTRING(-58.4266339681377 -34.6270079111323,-58.4338896043311 -34.6280288714765)",1969,1973,,675
24,9,"LINESTRING(-58.4338896043311 -34.6280288714765,-58.4387509469943 -34.6287704097567,-58.439171899609 -34.6288282727499,-58.4393422849167 -34.6288788379639,-58.4394746810832 -34.6289605173314,-58.4395883281993 -34.629093000282,-58.4397229469073 -34.6292193079762,-58.441847315826 -34.6308346241358,-58.442147822594 -34.6311055770066,-58.4423106732236 -34.6314040315119,-58.4428380299218 -34.63306524352,-58.4430096250851 -34.6333430225963,-58.4431658696462 -34.6334927005093,-58.4437647428185 -34.6339078285605,-58.4448919655857 -34.6347027626067,-58.4465955761407 -34.635815172606,-58.4472728482782 -34.6360811336337,-58.4481662147351 -34.6363309418417,-58.4487618706552 -34.6363945692059,-58.4493861545226 -34.636417102108,-58.4501059633614 -34.6363906322946,-58.4521794674021 -34.6364187190956,-58.4531458040165 -34.6366147802976,-58.4539539218401 -34.6370203814798,-58.4551293369068 -34.637638835413,-58.4580570765604 -34.6399421030128)",1977,1985,,2757
1,5,"LINESTRING(-58.3709894422368 -34.6087883155411,-58.3720304597551 -34.6088189282112,-58.3727372683532 -34.6087172761771,-58.373476318285 -34.6086107169678,-58.3741841361359 -34.6085617617205,-58.3777088907219 -34.6087988327883,-58.3806294585023 -34.6090111318935,-58.3825865360265 -34.6091176905653,-58.3868007951603 -34.6094175819557,-58.387404981966 -34.6094365471521,-58.3877725094404 -34.6093909526155,-58.3880647574715 -34.6093071129029,-58.3885392604242 -34.6091902746559,-58.3890094423061 -34.6091499804745,-58.3905778113195 -34.6091517976004,-58.3925405698141 -34.6092944694256,-58.3948786855668 -34.6094081983351,-58.3972168013084 -34.6095572484986,-58.4014585414476 -34.6098706003339,-58.4055737423366 -34.6101469321465,-58.4058781833662 -34.6101326935561,-58.4061394768187 -34.6100157116952,-58.4063847162031 -34.6098787372928,-58.4066191225472 -34.609786884086,-58.4068223427973 -34.6097596782535)",1909,1913,999999,3313
28,10,"LINESTRING(-58.3988970111623 -34.6359258170919,-58.3986282510861 -34.6366566440566,-58.3985968740491 -34.6367643983486,-58.3985857390032 -34.6368525989341,-58.3986020044782 -34.6369183840538,-58.3986608925342 -34.6369902762579,-58.3987624839378 -34.6370469069754,-58.3989650019364 -34.6370933569294,-58.3997008403736 -34.6372162975954,-58.4005211701209 -34.6373603344402,-58.4015657603848 -34.6375772014063,-58.4018445612293 -34.6376318275773,-58.4057136362253 -34.6384176707175)",2005,2011,,791
37,7,"LINESTRING(-58.375271178113 -34.5926360432093,-58.3764447901239 -34.593997012901,-58.3778438375225 -34.5954957168138,-58.378142687246 -34.5958333809632,-58.3782191048824 -34.5959178326413,-58.3782664400713 -34.5959712194285,-58.378266354539 -34.5959716070832,-58.3783092900045 -34.5960365060926,-58.3783633906287 -34.5961308340484,-58.3784132493381 -34.5962656008679,-58.3784552385253 -34.5964332610053)",1936,1937,,516
27,10,"LINESTRING(-58.4060322769657 -34.6090458328199,-58.4061185893662 -34.6077493584421,-58.4061301520259 -34.6075470276413,-58.4061185893661 -34.6072875955554,-58.405804616919 -34.60602881316,-58.4052554653573 -34.6038598138463,-58.4047905898701 -34.6018609966248,-58.404241294647 -34.5999523253372)",2006,2010,,1027
239,95,"LINESTRING(-3.64049867875386 40.3874180079411,-3.64404700843863 40.3890696339857,-3.64863026761824 40.3910778065369,-3.65676185648266 40.3918472773492,-3.65888099782137 40.392898247664)",1990,1994,999999,1711
203,104,"LINESTRING(-3.74487349651798 40.3880402800388,-3.75104280479445 40.384639602734,-3.75244984001696 40.3838770030385,-3.75456039285717 40.3836502825473,-3.75732034655843 40.3838976139562,-3.75948501612956 40.3845365492176,-3.7608649929802 40.3857319602158)",1956,1961,1968,1583
3,5,"LINESTRING(-58.441177621305 -34.6204052158028,-58.4486004741431 -34.6235010386244,-58.455499851096 -34.626176604862,-58.456195965415 -34.6264841092163)",2004,2008,,1534
429,145,"LINESTRING(18.0429317787039 59.2632917996979,18.0422767208331 59.2625914147665,18.0403505083241 59.2611532850008,18.038843821948 59.2604198425823,18.0375523764849 59.2599614330498,18.0363864882293 59.2596038693367,18.0350327361391 59.2592726460285,18.0327188963431 59.2585483317622,18.0311045895178 59.2577964956006,18.0301360054168 59.2573655576405,18.0289360908688 59.2568978288345,18.0280213169997 59.2565494021455)",1959,1959,999999,1156
1662,440,"LINESTRING(139.708506533065 35.564242295371,139.705810104953 35.5703594640876,139.705566206932 35.570646022708,139.70526810934 35.570965644561,139.704956461864 35.57121913686,139.704387366516 35.5715718204479,139.703940220128 35.571770204289,139.703357574862 35.5719355237812,139.702883328705 35.5720677791295)",1922,1922,999999,1057
33,10,"LINESTRING(-58.3934414554927 -34.5856529026371,-58.3929230792507 -34.585247192988,-58.3915990750946 -34.5838689684713,-58.3912584269737 -34.5833322373042)",2013,,,328
34,11,"LINESTRING(-58.4492640007331 -34.6655914727149,-58.448832438729 -34.6653075093389,-58.4460272857022 -34.6630357673253,-58.4459409733013 -34.6628582848573,-58.4460246127794 -34.6626870599295)",1986,1987,,452
35,11,"LINESTRING(-58.4658144035914 -34.6798771235062,-58.4664185903971 -34.6803207378097,-58.4670659334033 -34.6806578830909,-58.4673248706058 -34.6810660044894,-58.4671738239044 -34.6814386353139,-58.4667854181009 -34.6818290086646,-58.4651023262854 -34.6835679221408)",1986,1987,,542
39,7,"LINESTRING(-58.375271178113 -34.5926360432094,-58.3740572835376 -34.5912499749396)",1933,1936,,190
40,10,"LINESTRING(-58.4162990645828 -34.6487083977079,-58.4163136397579 -34.649371538548,-58.4163377138383 -34.6508491105998,-58.4163628346179 -34.6521406729892,-58.4164047025837 -34.6539832671638,-58.4164423837529 -34.6554883090221,-58.4164732613776 -34.656955870718)",2012,,2014,915
104,49,"LINESTRING(-99.1431721028921 19.4550919410532,-99.1436225308395 19.4517338388489,-99.1451365798278 19.444942285522,-99.1469111680932 19.4373944542094,-99.1489541106112 19.4271383744398,-99.1503833385218 19.4194720543619,-99.1509400109762 19.4151237031547,-99.1509928788991 19.4149407258745,-99.1510993987358 19.4148278114728,-99.1512587864956 19.4147265390492,-99.1533645835182 19.4136832337152)",1968,1970,999999,4809
198,99,"LINESTRING(-3.70604963340827 40.4203116586118,-3.70740887981992 40.4203116586118,-3.70854392063262 40.4199596103479,-3.70927258881952 40.4192341717401,-3.70946876871696 40.4179112929549,-3.70841780499563 40.4165990568652,-3.70759104723524 40.4148493691706,-3.70752098298809 40.4131209742151,-3.7085622835892 40.4110419723685,-3.70995648340619 40.4094164353021,-3.71108927075687 40.4079567359047,-3.71139425172683 40.4069282920929,-3.71104570176485 40.4064306524651,-3.7105228768425 40.406215007479,-3.70939008949188 40.4061984193733,-3.7075602022276 40.4059330091501,-3.70568674622572 40.4055348918489,-3.70468466510823 40.4052031256298,-3.70455395887507 40.4044732342028,-3.70535998064798 40.4040751082674,-3.70747306474223 40.4036438025188,-3.71000005190987 40.4029470720015,-3.7108714267942 40.4025821150457,-3.71250525470359 40.4016365355437,-3.7144004950793 40.4006245848671,-3.71636021818142 40.3974950718705,-3.71932289278604 40.3958360263229,-3.73150995734096 40.3887726540206,-3.73194785436286 40.3886353364377,-3.73274664830632 40.388903754231,-3.73366291194611 40.3893332204599,-3.73453218771411 40.3897358425725,-3.73528399377463 40.3898163667078,-3.7366936301521 40.3895121639229,-3.7408644773179 40.3887413523548,-3.74295543794264 40.3883029350256,-3.74472923037408 40.3879450412068)",1963,1968,999999,6644
26,10,"LINESTRING(-58.4060322769657 -34.6090458328199,-58.4059459645651 -34.610075893921,-58.4059358963332 -34.6106917542273,-58.4058337492445 -34.6112823490086,-58.4055100777337 -34.6126229743351,-58.4048239033556 -34.6150129059076,-58.4045002318527 -34.6160428929725,-58.4040255136485 -34.6173569958446,-58.4038109282013 -34.6179715183763,-58.4035650852233 -34.6187661004029,-58.4032055458414 -34.6198785944408,-58.4028387181382 -34.6211393650096,-58.4023424218339 -34.6228973089004,-58.4019324379304 -34.6247617541517,-58.4016303445279 -34.6262532801909,-58.4013066730251 -34.6276204888407,-58.4010477358229 -34.6288101195952,-58.4008319548212 -34.6301062650299,-58.4006377519196 -34.6312248400164,-58.4003140804167 -34.6321303420541,-58.3988970111623 -34.6359258170919)",2001,2007,999999,3060
200,99,"LINESTRING(-3.66253332158479 40.4311820676171,-3.64812393112999 40.4331197583294,-3.63806327787407 40.4378528595354)",1970,1970,999999,2244
220,100,"LINESTRING(-3.74443305220399 40.3991562534504,-3.74501418536479 40.4021376490288,-3.7451671151409 40.4040009542198,-3.74504477132294 40.4054449802767,-3.74504477132294 40.4069821352489,-3.7436989892671 40.4081000440961,-3.74125211282035 40.4089850420909,-3.73501257787555 40.4112673516356,-3.72962944968108 40.4132701309483,-3.72776370639517 40.4138523230585,-3.72459847071889 40.4141153221775,-3.72309975888692 40.4154659831871,-3.72224335213201 40.4170494822548,-3.72166221898573 40.4182370820989,-3.72068346839828 40.4198438014753,-3.71783897452497 40.4216833316001,-3.71506698611509 40.4232004256508,-3.71378237597551 40.4252959843355,-3.71445526699617 40.4276708719111,-3.71659628389068 40.4305113135908,-3.71843144123301 40.4330955456445,-3.71977722327435 40.4351209553975,-3.72283581881103 40.4372555376702,-3.72540503907575 40.4387919659421,-3.72650613348111 40.4398627891215,-3.72687316494961 40.4418647171394,-3.72699550876754 40.4425630500995,-3.72638378966315 40.4439829714032)",1991,1995,999999,6856
240,95,"LINESTRING(-3.62058241492517 40.376287819198,-3.62105232498701 40.3782992988125,-3.62149985838784 40.3797311629589,-3.62478191715414 40.3820430888539,-3.6271192365335 40.3828971310622,-3.62958980947676 40.3830225918619,-3.63201920620082 40.3837439869517,-3.63617800396568 40.3856885787158,-3.64046033038744 40.3874449359271)",1995,1999,999999,2247
199,96,"LINESTRING(-3.662553862534 40.4312212696904,-3.6584423001236 40.4317428776234,-3.64820146415897 40.4331338123247,-3.63810331773286 40.4379088150799)",1960,1964,1970,2244
241,95,"LINESTRING(-3.61886513458958 40.3722656531966,-3.61984344247594 40.3742385454585,-3.62059229778885 40.3762813210792)",1995,1999,999999,470
243,105,"LINESTRING(-3.73438439873107 40.3759395937525,-3.72941653508272 40.3798850939941,-3.72503001718982 40.3833472814091,-3.72209686365409 40.3848367724214,-3.7176839209524 40.3852393318988)",1995,1998,999999,1820
98,47,"LINESTRING(-99.0821342256623 19.4117078911695,-99.0794387763032 19.4100402949855,-99.0784495964184 19.4095269407572,-99.0777656479989 19.4095102036506,-99.0771979327225 19.4096543071948,-99.0767920794777 19.4098537255238,-99.076380463772 19.4101415758248,-99.0753689543239 19.4116051541015,-99.0751988122667 19.412147552956,-99.0746874162783 19.4162191993609)",1982,1984,999999,1402
228,107,"LINESTRING(-103.354763171611 20.6749394830752,-103.354784629282 20.6697397704327,-103.354806086948 20.6689376010949,-103.355707309174 20.6656650865022,-103.35656561606 20.6630952096688,-103.357895991732 20.659963113506,-103.359634063177 20.6590476833894,-103.362144610814 20.6562769124281,-103.366669746203 20.6505007409826,-103.369450507177 20.6469066108783,-103.371725020421 20.6442962572277,-103.373205599798 20.6426095433442,-103.37653666266 20.638800607385,-103.378167445741 20.6360696292428,-103.381099363571 20.6320734772874,-103.383545538193 20.6285792684869,-103.385675257533 20.6259705744869,-103.389880961271 20.6208294356551,-103.396266238102 20.6130590990024,-103.401163193911 20.6069716329279)",0,0,999999,9134
123,43,"LINESTRING(-70.6592015262304 -33.5186231127486,-70.6614589926685 -33.5264755067908,-70.665600110264 -33.5423392215644)",2000,2004,999999,2697
786,115,"LINESTRING(-0.134811774021131 51.5654183866782,-0.134845825332036 51.5660675034825,-0.135129586309603 51.5668718310053,-0.135821963105258 51.5676620336622,-0.136845654102899 51.5690302805386,-0.138765074649768 51.5711180818428,-0.14324372364365 51.5757904327528,-0.144523337334761 51.576724845264,-0.146826641995119 51.577897803992,-0.148074265343467 51.5785737325619,-0.151721164380518 51.5801442336544,-0.161926084558161 51.5856703756967,-0.16461327333198 51.587002115162)",1939,1939,999999,3245
428,145,"LINESTRING(17.8439547379907 59.3669948197193,17.8416052462513 59.3664960021585,17.838892142701 59.3655981120653,17.8354518155175 59.364187093913,17.8337432222747 59.3630728705414,17.8325642777087 59.3617549928778,17.8324121558174 59.3611347974435)",1958,1958,999999,968
41,8,"LINESTRING(-58.4350135308139 -34.5751783669187,-58.4355069958611 -34.5749341929653,-58.4376603773303 -34.5737585268809,-58.441142127463 -34.5719316321129,-58.444668144225 -34.5700123115067,-58.447003694717 -34.5689612096374,-58.4498951601438 -34.5674331171328,-58.452182438765 -34.5662070691223)",1994,1997,,1865
30,10,"LINESTRING(-58.4125578810989 -34.6416655069585,-58.4132717295906 -34.6431021105767,-58.4140053849978 -34.6446465633816,-58.4147821966054 -34.6461199800483,-58.4154079615115 -34.6471495809731,-58.4161416169186 -34.6481969205194,-58.4162325840777 -34.6483402602585,-58.4162679375263 -34.6484137132034,-58.4162863834253 -34.6484997536402,-58.4162949225729 -34.6485956735763,-58.4162990645828 -34.648708397708)",2012,,2014,857
31,10,"LINESTRING(-58.404241294647 -34.5999523253372,-58.4037449983421 -34.5985047317892,-58.4034213268388 -34.5975011705339,-58.4028279290829 -34.5957870953941,-58.4023639999283 -34.5945348212489,-58.401015368665 -34.5915417207497,-58.4003680256587 -34.5902893826086,-58.3998893704657 -34.5893390336053,-58.3997962457998 -34.5892146332705,-58.3996933519534 -34.5891130636772,-58.3987496681431 -34.5884774557154,-58.3977786536338 -34.5878201783506,-58.3971528887279 -34.5875181843046,-58.3934414554927 -34.5856529026371)",2012,2015,,1968
32,10,"LINESTRING(-58.3934414554927 -34.5856529026371,-58.3921575585305 -34.5852354291011)",2012,,2013,127
42,10,"LINESTRING(-58.4125578810989 -34.6416655069585,-58.4132717306379 -34.6432080302252)",2016,999999,999999,183
852,200,"LINESTRING(-71.2351647779754 -32.8675375847635,-71.2369991192899 -32.8699272309186,-71.2397693490255 -32.8728198743086,-71.2413790771148 -32.8756809830758,-71.2422400944658 -32.8773158609189,-71.2424272721561 -32.8783219246007,-71.2427641919864 -32.8820002477484,-71.2430801245652 -32.8862023861944,-71.2435293510134 -32.8924700174229,-71.2440160129915 -32.8960534543023,-71.2445026749771 -32.8981280094018,-71.2448770303424 -32.8990395409683)",1852,1856,1987,3705
853,200,"LINESTRING(-71.2449307998927 -32.8990746340899,-71.2594424492317 -32.9166044043685,-71.2752069028269 -32.9360583844139,-71.2779213120488 -32.9395351219324,-71.2786521145369 -32.9419007617642,-71.2782345131128 -32.9426892943022,-71.2778169116941 -32.9442663382998,-71.2782345131128 -32.9486468684644,-71.280740121636 -32.9512750823803,-71.2839765326366 -32.955567663712,-71.2851249365435 -32.9573196778187,-71.2852192091989 -32.9579650252281)",1852,1856,1987,7712
995,242,"LINESTRING(9.17629294463632 45.4938897324168,9.17237343608141 45.4943421064368,9.16830359825093 45.4949153236546,9.16762469597498 45.4950313577433,9.16361145901573 45.4959690709941,9.1620446473413 45.4965471056288,9.15749223754713 45.4987423647745,9.15539595688293 45.4996821787189,9.15344431426155 45.5006711913738,9.15207278226629 45.5013354706341,9.15109511107491 45.5018048048391,9.14746712857692 45.5034954647954,9.1456097675341 45.5042191917787,9.14369458005777 45.5047807991601,9.13577361160213 45.5063990164424)",1989,1999,2004,3508
1021,252,"LINESTRING(14.2499117281156 40.8482678520231,14.2496631094444 40.8478426575691,14.249436109807 40.8471230914985,14.2490577770222 40.8441438804547,14.2486902538116 40.8410992716411,14.2487443013138 40.8406802199798,14.2490469675151 40.8399687539554,14.2494793477922 40.8395843955713,14.2498684900563 40.8394044823712,14.2503657273805 40.8393554150463,14.2508471879766 40.8393585109537,14.251651406155 40.8394396277935,14.2529646904993 40.8396498184215,14.2533147021014 40.8397606550953,14.2535808324006 40.8399360426794,14.2538510700875 40.8403285767955,14.2553882691249 40.8433949087597,14.2556693163105 40.8437301809681,14.2560908870707 40.8440490968595)",2000,2011,999999,1864
156,71,"LINESTRING(-70.6331709921491 -33.4376024859814,-70.632434911626 -33.4393335346125,-70.6320557186346 -33.4401897394501,-70.6310742779468 -33.4445864189267,-70.6296690333051 -33.4499717010564,-70.6285314543258 -33.4541261180394,-70.6281522613261 -33.4553915933258)",1893,1895,1943,2441
423,145,"LINESTRING(18.0429328506848 59.2632862810272,18.0446651886065 59.265167676766,18.0460077504993 59.26627433161,18.0475668546322 59.2675801380848,18.0484763320446 59.268642452187,18.0492991925539 59.2697932550808,18.0504252122182 59.2717358351486,18.0510748389388 59.2730193039186,18.0520276248026 59.2738159153776,18.0534568035811 59.274346979333,18.0550592161655 59.2745903808742)",1954,1954,999999,1487
722,116,"LINESTRING(0.0559876188530097 51.6414412391191,0.0596461062465039 51.6416348998555,0.0648671230509876 51.6420500004906,0.070581096855193 51.6423821923229,0.0765211342906298 51.6429637662845,0.078845722287042 51.643434786494,0.081931720541121 51.6440446374582,0.0851569498941558 51.6450710481598,0.0878085981470065 51.6465985399549,0.0891642142150886 51.6479611579652,0.0913353713626748 51.6500221427622,0.0922438446904721 51.6511098674042,0.0974369645524007 51.6585628997175,0.0993662713038077 51.6610545767995,0.100040650546418 51.6619973279347,0.100493214224997 51.6631907726696,0.101083269699217 51.6649416149509,0.101269740654203 51.6664166738348,0.101818689021911 51.6685910606432,0.102998620070196 51.6710492975116,0.106427781873464 51.6782420147843,0.107321114059602 51.6804070342281,0.108261018396007 51.6826319367227,0.110901362235154 51.6887432451268,0.112234073487173 51.6918799066939,0.113886494054697 51.6938552470874,0.114915934068222 51.6945237582709)",1949,1949,999999,8027
424,145,"LINESTRING(17.8723243881738 59.3635978228726,17.8693363850455 59.3650693000976,17.8651577551165 59.3666948466664,17.8632257004123 59.367358779909,17.8613385772163 59.3676564009379,17.858265460706 59.3679211636603,17.8555106197792 59.3680822385018,17.8534783600951 59.3679671851196,17.8480590009193 59.3675069677081,17.8439369379943 59.3669989600197)",1956,1956,999999,1784
319,115,"LINESTRING(-0.113222823474132 51.5026004499487,-0.122205771127057 51.506754693639)",1923,1926,999999,776
430,145,"LINESTRING(18.0280257886096 59.2565525861746,18.0275567275257 59.2564177087687,18.0263661529951 59.2561106726841,18.0248129259298 59.2559150460047,18.0233047199601 59.2558460010306,18.0220441298804 59.2559035385218,18.0208735819558 59.2560531355426,18.0201982658476 59.2561912245209,18.0187479229559 59.2566860387633,18.0173972907394 59.2573994792041,18.0160358945524 59.2584038675112,18.0150055061719 59.2595600198673,18.0142264320301 59.2608445875945,18.0136395561406 59.2616729364075,18.0128910037953 59.2623988849361,18.012274351807 59.2630132886427)",1960,1960,999999,1371
162,42,"LINESTRING(-70.651614863961 -33.4440726886659,-70.6512638902744 -33.4439425281572,-70.6509865777341 -33.4438015207173,-70.650917249599 -33.4437617493477)",1971,9999,999999,74
